------------------------------------------------------------
Server listening on UDP port 5001 with pid 11826
Receiving 1470 byte datagrams
UDP buffer size:  176 KByte (default)
------------------------------------------------------------
[  3] local 192.168.241.14 port 5001 connected with 100.100.100.10 port 45619
[ ID] Interval            Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  NetPwr
[  3] 1160.0000-1170.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.982 ms    0/  892 (0%)  8.012/ 6.222/22.949/ 1.299 ms   89 pps  16.37
[  3] 1170.0000-1180.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.000 ms    0/  892 (0%)  7.475/ 6.173/35.514/ 1.443 ms   89 pps  17.54
[  3] 1180.0000-1190.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.189 ms    0/  891 (0%)  7.558/ 6.151/34.705/ 1.472 ms   89 pps  17.33
[  3] 1190.0000-1200.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.067 ms    0/  892 (0%)  7.663/ 6.281/36.633/ 1.572 ms   89 pps  17.11
[  3] 1200.0000-1210.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.954 ms    0/  892 (0%)  7.725/ 6.453/18.921/ 1.000 ms   89 pps  16.97
[  3] 1210.0000-1220.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.206 ms    0/  891 (0%)  7.751/ 6.468/13.493/ 0.906 ms   89 pps  16.90
[  3] 1220.0000-1230.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.946 ms    0/  892 (0%)  7.799/ 6.481/19.331/ 0.991 ms   89 pps  16.81
[  3] 1230.0000-1240.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.225 ms    0/  892 (0%)  7.827/ 6.439/13.743/ 0.928 ms   89 pps  16.75
[  3] 1240.0000-1250.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.005 ms    0/  891 (0%)  7.837/ 6.510/14.314/ 0.900 ms   89 pps  16.71
[  3] 1250.0000-1260.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.486 ms    0/  892 (0%)  7.948/ 6.502/14.508/ 1.122 ms   89 pps  16.50
[  3] 1260.0000-1270.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.951 ms    0/  892 (0%)  7.905/ 6.050/14.622/ 1.220 ms   89 pps  16.59
[  3] 1270.0000-1280.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.962 ms    0/  891 (0%)  7.497/ 6.083/14.004/ 1.181 ms   89 pps  17.47
[  3] 1280.0000-1290.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.154 ms    0/  892 (0%)  7.578/ 6.212/35.741/ 1.482 ms   89 pps  17.30
[  3] 1290.0000-1300.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.297 ms    0/  891 (0%)  7.805/ 6.278/36.717/ 1.965 ms   89 pps  16.78
[  3] 1300.0000-1310.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.012 ms    0/  892 (0%)  7.974/ 6.381/23.485/ 1.598 ms   89 pps  16.44
[  3] 1310.0000-1320.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.909 ms    0/  892 (0%) 11.624/ 6.191/261.087/24.254 ms   89 pps  11.28
[  3] 1320.0000-1330.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.866 ms    0/  891 (0%)  7.783/ 6.419/14.147/ 0.955 ms   89 pps  16.83
[  3] 1330.0000-1340.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.952 ms    0/  892 (0%)  7.808/ 6.463/19.747/ 1.056 ms   89 pps  16.79
[  3] 1340.0000-1350.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.302 ms    0/  892 (0%)  7.911/ 6.473/22.729/ 1.339 ms   89 pps  16.58
[  3] 1350.0000-1360.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.239 ms    0/  891 (0%) 15.679/ 6.455/376.492/41.862 ms   89 pps  8.35
[  3] 1360.0000-1370.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.172 ms    0/  892 (0%)  7.945/ 6.091/35.963/ 2.026 ms   89 pps  16.50
[  3] 1370.0000-1380.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.888 ms    0/  892 (0%)  7.795/ 6.097/48.877/ 2.463 ms   89 pps  16.82
[  3] 1380.0000-1390.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.986 ms    0/  891 (0%)  7.597/ 6.189/14.203/ 1.235 ms   89 pps  17.24
[  3] 1390.0000-1400.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.544 ms    0/  892 (0%)  8.436/ 6.206/104.442/ 6.258 ms   89 pps  15.54
[  3] 1400.0000-1410.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.953 ms    0/  892 (0%)  7.639/ 6.296/16.601/ 0.941 ms   89 pps  17.17
[  3] 1410.0000-1420.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.255 ms    0/  891 (0%) 16.260/ 6.402/406.497/47.085 ms   89 pps  8.05
[  3] 1420.0000-1430.0000 sec  1.25 MBytes  1.05 Mbits/sec   5.991 ms    0/  892 (0%) 20.494/ 6.394/366.330/52.716 ms   89 pps  6.40
