------------------------------------------------------------
Server listening on UDP port 5001 with pid 61694
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 39514
[ ID] Interval            Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  NetPwr
[  3] 260.0000-270.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.073 ms    0/  891 (0%)  9.637/ 8.199/22.392/ 1.083 ms   89 pps  13.59
[  3] 270.0000-280.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.867 ms    0/  892 (0%)  9.641/ 8.289/14.393/ 0.854 ms   89 pps  13.60
[  3] 280.0000-290.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.969 ms    0/  892 (0%)  9.751/ 8.295/22.570/ 1.387 ms   89 pps  13.45
[  3] 290.0000-300.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.063 ms    0/  891 (0%)  9.666/ 8.256/22.475/ 0.965 ms   89 pps  13.55
[  3] 300.0000-310.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.111 ms    0/  892 (0%)  9.435/ 7.832/27.064/ 1.291 ms   89 pps  13.90
[  3] 310.0000-320.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.005 ms    0/  891 (0%)  9.254/ 7.772/21.035/ 0.969 ms   89 pps  14.15
[  3] 320.0000-330.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.958 ms    0/  892 (0%)  9.334/ 7.987/15.737/ 0.924 ms   89 pps  14.05
[  3] 330.0000-340.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.094 ms    0/  892 (0%)  9.416/ 8.079/21.166/ 1.027 ms   89 pps  13.93
[  3] 340.0000-350.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.969 ms    0/  891 (0%)  9.530/ 8.193/21.514/ 1.013 ms   89 pps  13.74
[  3] 350.0000-360.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.230 ms    0/  892 (0%)  9.631/ 8.212/20.506/ 1.069 ms   89 pps  13.62
[  3] 360.0000-370.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.118 ms    0/  892 (0%)  9.602/ 8.284/16.704/ 0.878 ms   89 pps  13.66
[  3] 370.0000-380.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.830 ms    0/  891 (0%)  9.639/ 8.261/24.424/ 1.062 ms   89 pps  13.59
[  3] 380.0000-390.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.768 ms    0/  892 (0%)  9.645/ 8.230/19.417/ 0.972 ms   89 pps  13.60
[  3] 390.0000-400.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.952 ms    0/  892 (0%)  9.629/ 8.122/11.629/ 0.804 ms   89 pps  13.62
[  3] 400.0000-410.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.007 ms    0/  891 (0%)  9.295/ 7.814/22.970/ 1.136 ms   89 pps  14.09
[  3] 410.0000-420.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.020 ms    0/  892 (0%)  9.372/ 7.876/26.898/ 1.374 ms   89 pps  13.99
[  3] 420.0000-430.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.053 ms    0/  892 (0%)  9.358/ 7.992/13.586/ 0.872 ms   89 pps  14.01
[  3] 430.0000-440.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.953 ms    0/  891 (0%)  9.439/ 8.121/12.031/ 0.853 ms   89 pps  13.88
[  3] 440.0000-450.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.904 ms    0/  892 (0%)  9.637/ 8.245/22.396/ 1.175 ms   89 pps  13.61
[  3] 450.0000-460.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.972 ms    0/  892 (0%)  9.565/ 8.092/13.645/ 0.859 ms   89 pps  13.71
[  3] 460.0000-470.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.082 ms    0/  891 (0%)  9.684/ 8.189/22.566/ 1.338 ms   89 pps  13.53
[  3] 470.0000-480.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.056 ms    0/  892 (0%)  9.669/ 8.219/19.588/ 1.023 ms   89 pps  13.56
[  3] 480.0000-490.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.855 ms    0/  891 (0%)  9.624/ 8.144/11.590/ 0.816 ms   89 pps  13.61
[  3] 490.0000-500.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.004 ms    0/  892 (0%)  9.551/ 7.769/20.380/ 1.061 ms   89 pps  13.73
[  3] 500.0000-510.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.064 ms    0/  892 (0%)  9.198/ 7.761/18.024/ 0.945 ms   89 pps  14.26
[  3] 510.0000-520.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.005 ms    0/  891 (0%)  9.312/ 7.974/13.734/ 0.901 ms   89 pps  14.07
[  3] 520.0000-530.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.094 ms    0/  892 (0%)  9.438/ 8.116/20.179/ 1.013 ms   89 pps  13.89
[  3] 530.0000-540.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.052 ms    0/  892 (0%)  9.597/ 8.210/20.450/ 1.170 ms   89 pps  13.66
[  3] 540.0000-550.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.905 ms    0/  891 (0%)  9.583/ 8.298/20.468/ 0.946 ms   89 pps  13.67
