------------------------------------------------------------
Server listening on UDP port 5001 with pid 1752
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 51655
[  4] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 33567
[  5] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 37758
[  6] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 41594
[  7] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 54039
[ ID] Interval            Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  NetPwr
[  6] 80.0000-90.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.111 ms    0/  892 (0%) 15.937/13.377/28.291/ 3.179 ms   89 pps  8.23
[  7] 80.0000-90.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.121 ms    0/  892 (0%) 15.943/13.462/26.549/ 3.173 ms   89 pps  8.22
[SUM] 80.0000-90.0000 sec  6.25 MBytes  5.24 Mbits/sec  0/4460        0 pps
[  3] 90.0000-100.0000 sec  1.25 MBytes  1.05 Mbits/sec   4.324 ms    0/  891 (0%) 21.587/13.441/326.347/34.326 ms   89 pps  6.07
[  4] 90.0000-100.0000 sec  1.25 MBytes  1.05 Mbits/sec   4.290 ms    0/  891 (0%) 21.597/13.428/326.347/34.363 ms   89 pps  6.06
[  5] 90.0000-100.0000 sec  1.25 MBytes  1.05 Mbits/sec   4.319 ms    0/  891 (0%) 21.601/13.429/326.227/34.299 ms   89 pps  6.06
[  6] 90.0000-100.0000 sec  1.25 MBytes  1.05 Mbits/sec   4.302 ms    0/  891 (0%) 21.599/13.426/326.348/34.401 ms   89 pps  6.06
[  7] 90.0000-100.0000 sec  1.25 MBytes  1.05 Mbits/sec   4.295 ms    0/  891 (0%) 21.594/13.394/326.347/34.433 ms   89 pps  6.07
[SUM] 90.0000-100.0000 sec  6.25 MBytes  5.24 Mbits/sec  0/4455        0 pps
[  3] 100.0000-110.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.099 ms    0/  892 (0%) 15.839/13.378/29.198/ 3.108 ms   89 pps  8.28
[  4] 100.0000-110.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.072 ms    0/  892 (0%) 15.869/13.336/29.312/ 3.139 ms   89 pps  8.26
[  5] 100.0000-110.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.099 ms    0/  892 (0%) 15.864/13.380/29.311/ 3.139 ms   89 pps  8.27
[  6] 100.0000-110.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.100 ms    0/  892 (0%) 15.865/13.418/29.314/ 3.142 ms   89 pps  8.27
[  7] 100.0000-110.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.103 ms    0/  892 (0%) 15.872/13.366/29.313/ 3.126 ms   89 pps  8.26
[SUM] 100.0000-110.0000 sec  6.25 MBytes  5.24 Mbits/sec  0/4460        0 pps
