------------------------------------------------------------
Server listening on UDP port 5001 with pid 8767
Receiving 1470 byte datagrams
UDP buffer size:  176 KByte (default)
------------------------------------------------------------
[  3] local 192.168.241.11 port 5001 connected with 100.100.100.10 port 58169
[ ID] Interval            Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  NetPwr
[  3] 110.0000-120.0000 sec  1.28 MBytes  1.08 Mbits/sec   4.824 ms    0/  915 (0%) 115.801/ 8.514/434.128/116.150 ms   93 pps  1.16
[  3] 120.0000-130.0000 sec  1.25 MBytes  1.05 Mbits/sec   8.661 ms    0/  892 (0%) 86.159/ 8.450/403.802/100.087 ms   89 pps  1.52
[  3] 130.0000-140.0000 sec  1.25 MBytes  1.05 Mbits/sec   6.752 ms    0/  892 (0%) 70.608/ 8.440/393.386/92.704 ms   89 pps  1.86
[  3] 140.0000-150.0000 sec  1.22 MBytes  1.02 Mbits/sec  29.985 ms    0/  869 (0%) 72.191/ 8.490/428.814/97.761 ms   86 pps  1.77
[  3] 150.0000-160.0000 sec  1.25 MBytes  1.05 Mbits/sec  25.750 ms    0/  895 (0%) 91.146/ 7.977/416.256/108.876 ms   89 pps  1.44
[  3] 160.0000-170.0000 sec  1.25 MBytes  1.05 Mbits/sec  38.032 ms    0/  889 (0%) 90.132/ 8.046/430.575/101.441 ms   89 pps  1.45
[  3] 170.0000-180.0000 sec  1.28 MBytes  1.07 Mbits/sec  11.715 ms    0/  913 (0%) 102.523/ 8.185/430.575/113.183 ms   93 pps  1.31
[  3] 180.0000-190.0000 sec  1.25 MBytes  1.05 Mbits/sec  12.255 ms    0/  892 (0%) 89.030/ 8.326/426.807/105.790 ms   89 pps  1.47
[  3] 190.0000-200.0000 sec  1.22 MBytes  1.02 Mbits/sec  19.048 ms    0/  871 (0%) 94.372/ 8.398/420.147/109.381 ms   87 pps  1.36
[  3] 200.0000-210.0000 sec  1.28 MBytes  1.07 Mbits/sec   3.708 ms    0/  912 (0%) 91.207/ 8.430/418.992/105.715 ms   91 pps  1.47
[  3] 210.0000-220.0000 sec  1.25 MBytes  1.05 Mbits/sec   5.670 ms    0/  891 (0%) 81.908/ 8.476/424.534/102.131 ms   89 pps  1.60
[  3] 220.0000-230.0000 sec  1.24 MBytes  1.04 Mbits/sec  26.102 ms    0/  882 (0%) 106.016/ 8.531/433.962/118.501 ms   86 pps  1.22
[  3] 230.0000-240.0000 sec  1.26 MBytes  1.06 Mbits/sec   3.892 ms    0/  902 (0%) 83.902/ 8.393/423.829/100.044 ms   92 pps  1.58
[  3] 240.0000-250.0000 sec  1.20 MBytes  1.01 Mbits/sec  37.815 ms    0/  859 (0%) 98.860/ 8.478/430.717/109.718 ms   85 pps  1.28
[  3] 250.0000-260.0000 sec  1.30 MBytes  1.09 Mbits/sec   3.659 ms    0/  924 (0%) 84.324/ 8.040/430.717/107.236 ms   93 pps  1.61
[  3] 260.0000-270.0000 sec  1.22 MBytes  1.03 Mbits/sec  21.231 ms    0/  872 (0%) 78.871/ 8.149/401.311/102.625 ms   86 pps  1.63
[  3] 270.0000-280.0000 sec  1.27 MBytes  1.07 Mbits/sec  25.941 ms    0/  907 (0%) 96.287/ 8.288/430.628/109.943 ms   89 pps  1.38
[  3] 280.0000-290.0000 sec  1.26 MBytes  1.05 Mbits/sec   4.343 ms    0/  896 (0%) 101.139/ 8.342/414.131/113.668 ms   92 pps  1.30
[  3] 290.0000-300.0000 sec  1.25 MBytes  1.05 Mbits/sec   7.501 ms    0/  892 (0%) 85.250/ 8.375/429.151/104.582 ms   89 pps  1.54
[  3] 300.0000-310.0000 sec  1.23 MBytes  1.03 Mbits/sec  22.928 ms    0/  878 (0%) 81.000/ 8.522/429.502/103.727 ms   87 pps  1.59
[  3] 310.0000-320.0000 sec  1.27 MBytes  1.06 Mbits/sec  27.274 ms    0/  903 (0%) 80.940/ 8.557/403.753/94.977 ms   88 pps  1.64
[  3] 320.0000-330.0000 sec  1.25 MBytes  1.05 Mbits/sec   6.153 ms    0/  894 (0%) 107.731/ 8.475/423.879/111.415 ms   93 pps  1.22
[  3] 330.0000-340.0000 sec  1.25 MBytes  1.05 Mbits/sec  27.748 ms    0/  890 (0%) 101.115/ 8.419/426.821/113.384 ms   86 pps  1.29
[  3] 340.0000-350.0000 sec  1.25 MBytes  1.05 Mbits/sec  10.988 ms    0/  893 (0%) 95.465/ 8.135/414.195/103.908 ms   93 pps  1.38
[  3] 350.0000-360.0000 sec  1.25 MBytes  1.05 Mbits/sec  23.745 ms    0/  889 (0%) 81.164/ 8.107/410.936/99.263 ms   88 pps  1.61
[  3] 360.0000-370.0000 sec  1.25 MBytes  1.05 Mbits/sec   5.679 ms    0/  893 (0%) 76.054/ 8.159/406.470/100.577 ms   91 pps  1.73
[  3] 370.0000-380.0000 sec  1.25 MBytes  1.05 Mbits/sec   6.261 ms    0/  893 (0%) 86.505/ 8.294/428.888/106.937 ms   89 pps  1.52
[  3] 380.0000-390.0000 sec  1.24 MBytes  1.04 Mbits/sec  19.288 ms    0/  886 (0%) 100.873/ 8.432/434.339/124.670 ms   87 pps  1.29
[  3] 390.0000-400.0000 sec  1.26 MBytes  1.05 Mbits/sec  11.590 ms    0/  897 (0%) 80.389/ 8.436/426.946/95.905 ms   91 pps  1.64
[  3] 400.0000-410.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.310 ms    0/  892 (0%) 85.376/ 8.579/433.618/105.597 ms   90 pps  1.54
[  3] 410.0000-420.0000 sec  1.22 MBytes  1.02 Mbits/sec  18.497 ms    0/  871 (0%) 81.930/ 8.469/432.482/105.907 ms   87 pps  1.56
[  3] 420.0000-430.0000 sec  1.25 MBytes  1.05 Mbits/sec  19.225 ms    0/  893 (0%) 87.577/ 8.531/425.676/108.348 ms   89 pps  1.50
[  3] 430.0000-440.0000 sec  1.26 MBytes  1.05 Mbits/sec  29.314 ms    0/  897 (0%) 86.275/ 8.582/433.899/106.421 ms   88 pps  1.53
[  3] 440.0000-450.0000 sec  1.27 MBytes  1.07 Mbits/sec   5.173 ms    0/  906 (0%) 103.277/ 8.111/433.899/117.132 ms   93 pps  1.29
[  3] 450.0000-460.0000 sec  1.21 MBytes  1.01 Mbits/sec  28.121 ms    0/  863 (0%) 77.108/ 8.123/428.968/99.211 ms   86 pps  1.65
