------------------------------------------------------------
Server listening on UDP port 5001 with pid 57295
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 192.168.67.4 port 5001 connected with 100.100.100.10 port 33627
[ ID] Interval            Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  NetPwr
[  3] 330.0000-340.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.916 ms    0/  892 (0%)  7.909/ 6.351/21.768/ 1.071 ms   89 pps  16.58
[  3] 340.0000-350.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.062 ms    0/  891 (0%)  7.951/ 6.524/17.743/ 0.983 ms   89 pps  16.47
[  3] 350.0000-360.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.228 ms    0/  892 (0%)  8.030/ 6.616/20.006/ 0.970 ms   89 pps  16.33
[  3] 360.0000-370.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.212 ms    0/  891 (0%)  8.174/ 6.770/21.235/ 1.201 ms   89 pps  16.02
[  3] 370.0000-380.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.963 ms    0/  892 (0%)  8.285/ 6.884/23.547/ 1.244 ms   89 pps  15.83
[  3] 380.0000-390.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.961 ms    0/  892 (0%)  8.260/ 6.665/14.047/ 0.899 ms   89 pps  15.88
[  3] 390.0000-400.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.908 ms    0/  891 (0%)  8.289/ 6.727/19.054/ 1.013 ms   89 pps  15.80
[  3] 400.0000-410.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.042 ms    0/  892 (0%)  8.303/ 6.750/21.764/ 0.990 ms   89 pps  15.79
[  3] 410.0000-420.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.105 ms    0/  892 (0%)  8.315/ 6.777/19.080/ 0.887 ms   89 pps  15.77
[  3] 420.0000-430.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.096 ms    0/  891 (0%)  8.248/ 6.554/18.226/ 0.966 ms   89 pps  15.88
[  3] 430.0000-440.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.035 ms    0/  892 (0%)  7.860/ 6.360/12.807/ 0.886 ms   89 pps  16.68
[  3] 440.0000-450.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.901 ms    0/  892 (0%)  8.006/ 6.577/18.672/ 1.134 ms   89 pps  16.38
[  3] 450.0000-460.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.066 ms    0/  891 (0%)  8.083/ 6.715/19.184/ 1.015 ms   89 pps  16.20
[  3] 460.0000-470.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.057 ms    0/  892 (0%)  8.158/ 6.777/13.714/ 0.922 ms   89 pps  16.07
[  3] 470.0000-480.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.145 ms    0/  892 (0%)  8.254/ 6.915/18.017/ 0.965 ms   89 pps  15.89
[  3] 480.0000-490.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.912 ms    0/  891 (0%)  8.276/ 6.859/13.195/ 0.866 ms   89 pps  15.83
[  3] 490.0000-500.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.885 ms    0/  892 (0%)  8.297/ 6.814/21.311/ 0.982 ms   89 pps  15.80
[  3] 500.0000-510.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.883 ms    0/  892 (0%)  8.314/ 6.738/19.285/ 0.988 ms   89 pps  15.77
[  3] 510.0000-520.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.945 ms    0/  891 (0%)  8.356/ 6.905/21.159/ 0.939 ms   89 pps  15.67
[  3] 520.0000-530.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.345 ms    0/  892 (0%)  8.127/ 6.508/17.474/ 0.972 ms   89 pps  16.13
[  3] 530.0000-540.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.006 ms    0/  891 (0%)  7.869/ 6.452/12.624/ 0.881 ms   89 pps  16.64
[  3] 540.0000-550.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.957 ms    0/  892 (0%)  7.999/ 6.684/12.671/ 0.875 ms   89 pps  16.39
[  3] 550.0000-560.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.977 ms    0/  892 (0%)  8.112/ 6.756/27.255/ 1.128 ms   89 pps  16.16
[  3] 560.0000-570.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.959 ms    0/  891 (0%)  8.180/ 6.864/17.957/ 0.946 ms   89 pps  16.01
[  3] 570.0000-580.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.912 ms    0/  892 (0%)  8.229/ 6.783/10.470/ 0.860 ms   89 pps  15.93
[  3] 580.0000-590.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.117 ms    0/  892 (0%)  8.328/ 6.808/25.057/ 1.270 ms   89 pps  15.75
[  3] 590.0000-600.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.829 ms    0/  891 (0%)  8.275/ 6.819/19.010/ 0.910 ms   89 pps  15.83
[  3] 0.0000-600.9990 sec  75.1 MBytes  1.05 Mbits/sec   0.907 ms    0/53588 (0%)  8.172/ 6.330/68.365/ 1.089 ms   89 pps  16.04
