------------------------------------------------------------
Server listening on UDP port 5001 with pid 61806
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 40211
[  4] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 49206
[  5] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 60658
[  6] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 43853
[  7] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 55747
[ ID] Interval            Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  NetPwr
[  5] 80.0000-90.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.900 ms    0/  891 (0%) 10.376/ 7.728/20.552/ 3.068 ms   89 pps  12.62
[  6] 80.0000-90.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.947 ms    0/  891 (0%) 10.338/ 7.779/20.597/ 3.045 ms   89 pps  12.67
[  7] 80.0000-90.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.694 ms    0/  891 (0%) 10.350/ 7.733/20.552/ 3.036 ms   89 pps  12.65
[SUM] 80.0000-90.0000 sec  6.25 MBytes  5.24 Mbits/sec  0/4455        0 pps
[  3] 90.0000-100.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.017 ms    0/  892 (0%) 10.292/ 7.821/20.910/ 3.002 ms   89 pps  12.74
[  4] 90.0000-100.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.970 ms    0/  892 (0%) 10.298/ 7.854/20.789/ 2.998 ms   89 pps  12.73
[  5] 90.0000-100.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.985 ms    0/  892 (0%) 10.297/ 7.822/20.877/ 2.992 ms   89 pps  12.73
[  6] 90.0000-100.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.964 ms    0/  892 (0%) 10.293/ 7.908/20.951/ 2.985 ms   89 pps  12.74
[  7] 90.0000-100.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.953 ms    0/  892 (0%) 10.283/ 7.847/20.913/ 2.984 ms   89 pps  12.75
[SUM] 90.0000-100.0000 sec  6.25 MBytes  5.24 Mbits/sec  0/4460        0 pps
[  3] 100.0000-110.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.563 ms    0/  892 (0%) 10.504/ 7.874/21.851/ 3.194 ms   89 pps  12.48
[  4] 100.0000-110.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.529 ms    0/  892 (0%) 10.466/ 7.944/21.714/ 3.179 ms   89 pps  12.53
[  5] 100.0000-110.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.520 ms    0/  892 (0%) 10.511/ 8.024/21.766/ 3.194 ms   89 pps  12.47
[  6] 100.0000-110.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.529 ms    0/  892 (0%) 10.490/ 8.011/21.849/ 3.187 ms   89 pps  12.50
[  7] 100.0000-110.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.648 ms    0/  892 (0%) 10.471/ 8.004/21.839/ 3.181 ms   89 pps  12.52
[SUM] 100.0000-110.0000 sec  6.25 MBytes  5.24 Mbits/sec  0/4460        0 pps
[  3] 110.0000-120.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.563 ms    0/  891 (0%) 10.477/ 7.933/29.272/ 3.169 ms   89 pps  12.50
[  4] 110.0000-120.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.571 ms    0/  891 (0%) 10.458/ 7.972/29.271/ 3.153 ms   89 pps  12.52
[  5] 110.0000-120.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.588 ms    0/  891 (0%) 10.492/ 8.011/29.261/ 3.181 ms   89 pps  12.48
[  6] 110.0000-120.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.571 ms    0/  891 (0%) 10.472/ 7.945/29.261/ 3.173 ms   89 pps  12.51
[  7] 110.0000-120.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.567 ms    0/  891 (0%) 10.462/ 7.939/29.135/ 3.169 ms   89 pps  12.52
[SUM] 110.0000-120.0000 sec  6.25 MBytes  5.24 Mbits/sec  0/4455        0 pps
[  3] 120.0000-130.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.490 ms    0/  892 (0%) 10.433/ 8.008/20.247/ 3.098 ms   89 pps  12.57
[  4] 120.0000-130.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.383 ms    0/  892 (0%) 10.440/ 7.990/20.111/ 3.084 ms   89 pps  12.56
[  5] 120.0000-130.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.499 ms    0/  892 (0%) 10.427/ 7.948/20.246/ 3.076 ms   89 pps  12.58
[  6] 120.0000-130.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.465 ms    0/  892 (0%) 10.438/ 8.022/20.247/ 3.081 ms   89 pps  12.56
[  7] 120.0000-130.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.348 ms    0/  892 (0%) 10.427/ 7.947/20.247/ 3.082 ms   89 pps  12.58
[SUM] 120.0000-130.0000 sec  6.25 MBytes  5.24 Mbits/sec  0/4460        0 pps
[  3] 130.0000-140.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.994 ms    0/  892 (0%) 10.481/ 8.008/21.103/ 3.171 ms   89 pps  12.51
[  4] 130.0000-140.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.937 ms    0/  892 (0%) 10.487/ 7.922/21.128/ 3.193 ms   89 pps  12.50
[  5] 130.0000-140.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.003 ms    0/  892 (0%) 10.475/ 7.986/21.103/ 3.183 ms   89 pps  12.52
[  6] 130.0000-140.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.991 ms    0/  892 (0%) 10.498/ 8.045/21.127/ 3.203 ms   89 pps  12.49
