------------------------------------------------------------
Server listening on UDP port 5001 with pid 4909
Receiving 1470 byte datagrams
UDP buffer size:  176 KByte (default)
------------------------------------------------------------
[  3] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 37527
[ ID] Interval            Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  NetPwr
[  3] 750.0000-760.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.904 ms    0/  892 (0%)  3.795/ 2.161/15.017/ 1.043 ms   89 pps  34.55
[  3] 760.0000-770.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.072 ms    0/  892 (0%)  3.880/ 2.380/16.962/ 1.017 ms   89 pps  33.80
[  3] 770.0000-780.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.741 ms    0/  891 (0%)  4.053/ 2.303/17.374/ 1.388 ms   89 pps  32.32
[  3] 780.0000-790.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.094 ms    0/  892 (0%)  4.070/ 2.374/16.690/ 1.223 ms   89 pps  32.22
[  3] 790.0000-800.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.007 ms    0/  892 (0%)  3.631/ 2.093/14.741/ 1.073 ms   89 pps  36.11
[  3] 800.0000-810.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.924 ms    0/  891 (0%)  3.542/ 2.115/16.385/ 1.028 ms   89 pps  36.98
[  3] 810.0000-820.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.002 ms    0/  892 (0%)  3.823/ 2.206/13.785/ 1.017 ms   89 pps  34.30
[  3] 820.0000-830.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.053 ms    0/  892 (0%)  3.963/ 2.439/16.778/ 1.097 ms   89 pps  33.09
[  3] 830.0000-840.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.054 ms    0/  891 (0%)  4.094/ 2.527/14.831/ 1.044 ms   89 pps  31.99
[  3] 840.0000-850.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.239 ms    0/  892 (0%)  4.142/ 2.480/21.097/ 1.193 ms   89 pps  31.66
[  3] 850.0000-860.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.900 ms    0/  891 (0%)  4.215/ 2.587/17.046/ 1.123 ms   89 pps  31.08
[  3] 860.0000-870.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.071 ms    0/  892 (0%)  4.239/ 2.822/16.907/ 0.969 ms   89 pps  30.93
[  3] 870.0000-880.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.030 ms    0/  892 (0%)  4.284/ 2.731/10.592/ 0.843 ms   89 pps  30.61
[  3] 880.0000-890.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.221 ms    0/  891 (0%)  4.175/ 2.393/ 7.354/ 0.860 ms   89 pps  31.37
[  3] 890.0000-900.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.025 ms    0/  892 (0%)  3.911/ 2.182/14.842/ 0.965 ms   89 pps  33.53
[  3] 900.0000-910.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.878 ms    0/  892 (0%)  4.050/ 2.502/14.869/ 1.000 ms   89 pps  32.38
[  3] 910.0000-920.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.962 ms    0/  891 (0%)  4.142/ 2.704/13.968/ 1.046 ms   89 pps  31.62
[  3] 920.0000-930.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.077 ms    0/  892 (0%)  4.323/ 2.723/21.101/ 1.302 ms   89 pps  30.33
[  3] 930.0000-940.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.193 ms    0/  892 (0%)  4.406/ 2.816/13.384/ 0.997 ms   89 pps  29.76
[  3] 940.0000-950.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.821 ms    0/  891 (0%)  4.460/ 2.950/17.251/ 1.228 ms   89 pps  29.37
[  3] 950.0000-960.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.936 ms    0/  892 (0%)  4.364/ 2.870/17.307/ 1.205 ms   89 pps  30.05
[  3] 960.0000-970.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.266 ms    0/  892 (0%)  4.531/ 2.900/15.168/ 1.043 ms   89 pps  28.94
[  3] 970.0000-980.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.175 ms    0/  891 (0%)  4.652/ 3.003/15.409/ 1.308 ms   89 pps  28.16
[  3] 980.0000-990.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.206 ms    0/  892 (0%)  4.309/ 2.632/ 9.129/ 0.931 ms   89 pps  30.43
[  3] 990.0000-1000.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.110 ms    0/  891 (0%)  4.229/ 2.673/16.335/ 1.106 ms   89 pps  30.97
