{'TIMESTAMP': '2020-11-27 18:27:53', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:53:45.602862', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 53, 45, 626952)}
{'TIMESTAMP': '2020-11-27 18:28:54', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:54:50.717874', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 54, 50, 746585)}
{'TIMESTAMP': '2020-11-27 18:29:55', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:55:55.873222', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 55, 55, 901107)}
{'TIMESTAMP': '2020-11-27 18:30:59', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:57:01.022933', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 57, 1, 46415)}
{'TIMESTAMP': '2020-11-27 18:32:00', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:58:06.187761', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 58, 6, 216341)}
{'TIMESTAMP': '2020-11-27 18:33:03', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:59:11.342686', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 59, 11, 365887)}
{'TIMESTAMP': '2020-11-27 18:34:07', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 23:00:16.482633', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 23, 0, 16, 506306)}
{'TIMESTAMP': '2020-11-27 18:35:10', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 23:01:21.657610', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 23, 1, 21, 681104)}
{'TIMESTAMP': '2020-11-27 18:36:23', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 23:02:26.797705', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 23, 2, 26, 821189)}
{'TIMESTAMP': '2020-11-27 18:37:25', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 23:03:31.942608', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 23, 3, 31, 971144)}
{'TIMESTAMP': '2020-11-27 18:38:27', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 23:04:37.087449', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 23, 4, 37, 110896)}
{'TIMESTAMP': '2020-11-27 18:39:33', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 23:05:42.232458', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 23, 5, 42, 261035)}
{'TIMESTAMP': '2020-11-27 18:40:40', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 23:06:47.392449', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 23, 6, 47, 425982)}
{'TIMESTAMP': '2020-11-27 18:41:43', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 23:07:52.547356', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 23, 7, 52, 575687)}
{'TIMESTAMP': '2020-11-27 18:42:46', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 23:08:57.677752', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 23, 8, 57, 700922)}
