{}
{'Time_STAMP': '2020-11-27 17:34:36', 'CEI_ID': '2', 'U_DC': '744.5', 'I_DC': '1.34', 'U_RMS_A': '229.65', 'U_RMS_B': '230.95', 'U_RMS_C': '227.45', 'I_RMS_A': '0.61', 'I_RMS_B': '0.18', 'I_RMS_C': '3', 'S_RMS_A': '140.63', 'S_RMS_B': '40.88', 'S_RMS_C': '683.18', 'T_IGBT': '46.8', 'T_AMBIENT': '17.8', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:37', 'CEI_ID': '2', 'U_DC': '744.5', 'I_DC': '1.34', 'U_RMS_A': '229.65', 'U_RMS_B': '230.95', 'U_RMS_C': '227.45', 'I_RMS_A': '0.61', 'I_RMS_B': '0.18', 'I_RMS_C': '3', 'S_RMS_A': '140.63', 'S_RMS_B': '40.88', 'S_RMS_C': '683.18', 'T_IGBT': '46.8', 'T_AMBIENT': '17.8', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:38', 'CEI_ID': '2', 'U_DC': '744.9', 'I_DC': '1.35', 'U_RMS_A': '229.66', 'U_RMS_B': '230.91', 'U_RMS_C': '227.45', 'I_RMS_A': '0.61', 'I_RMS_B': '0.18', 'I_RMS_C': '3', 'S_RMS_A': '140.37', 'S_RMS_B': '40.79', 'S_RMS_C': '682.99', 'T_IGBT': '46.8', 'T_AMBIENT': '17.8', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:39', 'CEI_ID': '2', 'U_DC': '744.9', 'I_DC': '1.35', 'U_RMS_A': '229.66', 'U_RMS_B': '230.91', 'U_RMS_C': '227.45', 'I_RMS_A': '0.61', 'I_RMS_B': '0.18', 'I_RMS_C': '3', 'S_RMS_A': '140.37', 'S_RMS_B': '40.79', 'S_RMS_C': '682.99', 'T_IGBT': '46.8', 'T_AMBIENT': '17.8', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:40', 'CEI_ID': '2', 'U_DC': '745.6', 'I_DC': '1.35', 'U_RMS_A': '229.65', 'U_RMS_B': '230.97', 'U_RMS_C': '227.44', 'I_RMS_A': '0.61', 'I_RMS_B': '0.18', 'I_RMS_C': '3', 'S_RMS_A': '140.54', 'S_RMS_B': '41.1', 'S_RMS_C': '683.05', 'T_IGBT': '46.9', 'T_AMBIENT': '17.8', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:41', 'CEI_ID': '2', 'U_DC': '745.6', 'I_DC': '1.35', 'U_RMS_A': '229.65', 'U_RMS_B': '230.97', 'U_RMS_C': '227.44', 'I_RMS_A': '0.61', 'I_RMS_B': '0.18', 'I_RMS_C': '3', 'S_RMS_A': '140.54', 'S_RMS_B': '41.1', 'S_RMS_C': '683.05', 'T_IGBT': '46.9', 'T_AMBIENT': '17.8', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:42', 'CEI_ID': '2', 'U_DC': '745.2', 'I_DC': '1.34', 'U_RMS_A': '229.42', 'U_RMS_B': '231.01', 'U_RMS_C': '227.62', 'I_RMS_A': '0.61', 'I_RMS_B': '0.18', 'I_RMS_C': '3', 'S_RMS_A': '140.11', 'S_RMS_B': '41.49', 'S_RMS_C': '682.92', 'T_IGBT': '46.9', 'T_AMBIENT': '17.8', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:45', 'CEI_ID': '2', 'U_DC': '745.3', 'I_DC': '1.35', 'U_RMS_A': '229.42', 'U_RMS_B': '230.97', 'U_RMS_C': '227.57', 'I_RMS_A': '0.61', 'I_RMS_B': '0.18', 'I_RMS_C': '3', 'S_RMS_A': '139.85', 'S_RMS_B': '40.93', 'S_RMS_C': '682.6', 'T_IGBT': '47', 'T_AMBIENT': '17.7', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:46', 'CEI_ID': '2', 'U_DC': '745.4', 'I_DC': '1.34', 'U_RMS_A': '229.48', 'U_RMS_B': '231', 'U_RMS_C': '227.55', 'I_RMS_A': '0.61', 'I_RMS_B': '0.18', 'I_RMS_C': '2.99', 'S_RMS_A': '139.82', 'S_RMS_B': '41.11', 'S_RMS_C': '681.28', 'T_IGBT': '47', 'T_AMBIENT': '17.7', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:47', 'CEI_ID': '2', 'U_DC': '745.4', 'I_DC': '1.34', 'U_RMS_A': '229.48', 'U_RMS_B': '231', 'U_RMS_C': '227.55', 'I_RMS_A': '0.61', 'I_RMS_B': '0.18', 'I_RMS_C': '2.99', 'S_RMS_A': '139.82', 'S_RMS_B': '41.11', 'S_RMS_C': '681.28', 'T_IGBT': '47', 'T_AMBIENT': '17.7', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:48', 'CEI_ID': '2', 'U_DC': '745.3', 'I_DC': '1.33', 'U_RMS_A': '229.49', 'U_RMS_B': '231.01', 'U_RMS_C': '227.54', 'I_RMS_A': '0.61', 'I_RMS_B': '0.18', 'I_RMS_C': '3', 'S_RMS_A': '140.07', 'S_RMS_B': '41.17', 'S_RMS_C': '681.54', 'T_IGBT': '47', 'T_AMBIENT': '17.7', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:49', 'CEI_ID': '2', 'U_DC': '745.3', 'I_DC': '1.33', 'U_RMS_A': '229.49', 'U_RMS_B': '231.01', 'U_RMS_C': '227.54', 'I_RMS_A': '0.61', 'I_RMS_B': '0.18', 'I_RMS_C': '3', 'S_RMS_A': '140.07', 'S_RMS_B': '41.17', 'S_RMS_C': '681.54', 'T_IGBT': '47', 'T_AMBIENT': '17.7', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:50', 'CEI_ID': '2', 'U_DC': '745.1', 'I_DC': '1.33', 'U_RMS_A': '229.51', 'U_RMS_B': '231.04', 'U_RMS_C': '227.54', 'I_RMS_A': '0.61', 'I_RMS_B': '0.18', 'I_RMS_C': '3', 'S_RMS_A': '140.36', 'S_RMS_B': '40.87', 'S_RMS_C': '682.35', 'T_IGBT': '47.1', 'T_AMBIENT': '17.7', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:51', 'CEI_ID': '2', 'U_DC': '745.1', 'I_DC': '1.33', 'U_RMS_A': '229.51', 'U_RMS_B': '231.04', 'U_RMS_C': '227.54', 'I_RMS_A': '0.61', 'I_RMS_B': '0.18', 'I_RMS_C': '3', 'S_RMS_A': '140.36', 'S_RMS_B': '40.87', 'S_RMS_C': '682.35', 'T_IGBT': '47.1', 'T_AMBIENT': '17.7', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:52', 'CEI_ID': '2', 'U_DC': '745.5', 'I_DC': '1.32', 'U_RMS_A': '229.49', 'U_RMS_B': '231.05', 'U_RMS_C': '227.5', 'I_RMS_A': '0.61', 'I_RMS_B': '0.18', 'I_RMS_C': '3', 'S_RMS_A': '140.33', 'S_RMS_B': '40.65', 'S_RMS_C': '681.7', 'T_IGBT': '47.1', 'T_AMBIENT': '17.7', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:53', 'CEI_ID': '2', 'U_DC': '745.5', 'I_DC': '1.32', 'U_RMS_A': '229.49', 'U_RMS_B': '231.05', 'U_RMS_C': '227.5', 'I_RMS_A': '0.61', 'I_RMS_B': '0.18', 'I_RMS_C': '3', 'S_RMS_A': '140.33', 'S_RMS_B': '40.65', 'S_RMS_C': '681.7', 'T_IGBT': '47.1', 'T_AMBIENT': '17.7', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:54', 'CEI_ID': '2', 'U_DC': '745.1', 'I_DC': '1.32', 'U_RMS_A': '229.49', 'U_RMS_B': '231.08', 'U_RMS_C': '227.52', 'I_RMS_A': '0.61', 'I_RMS_B': '0.18', 'I_RMS_C': '3', 'S_RMS_A': '140.49', 'S_RMS_B': '41.17', 'S_RMS_C': '683.14', 'T_IGBT': '47.2', 'T_AMBIENT': '17.7', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:55', 'CEI_ID': '2', 'U_DC': '745.1', 'I_DC': '1.32', 'U_RMS_A': '229.49', 'U_RMS_B': '231.08', 'U_RMS_C': '227.52', 'I_RMS_A': '0.61', 'I_RMS_B': '0.18', 'I_RMS_C': '3', 'S_RMS_A': '140.49', 'S_RMS_B': '41.17', 'S_RMS_C': '683.14', 'T_IGBT': '47.2', 'T_AMBIENT': '17.7', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:56', 'CEI_ID': '2', 'U_DC': '745.4', 'I_DC': '1.32', 'U_RMS_A': '229.47', 'U_RMS_B': '231.14', 'U_RMS_C': '227.51', 'I_RMS_A': '0.61', 'I_RMS_B': '0.18', 'I_RMS_C': '3', 'S_RMS_A': '140.44', 'S_RMS_B': '40.79', 'S_RMS_C': '682.13', 'T_IGBT': '47.2', 'T_AMBIENT': '17.6', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:57', 'CEI_ID': '2', 'U_DC': '745.4', 'I_DC': '1.32', 'U_RMS_A': '229.47', 'U_RMS_B': '231.14', 'U_RMS_C': '227.51', 'I_RMS_A': '0.61', 'I_RMS_B': '0.18', 'I_RMS_C': '3', 'S_RMS_A': '140.44', 'S_RMS_B': '40.79', 'S_RMS_C': '682.13', 'T_IGBT': '47.2', 'T_AMBIENT': '17.6', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:58', 'CEI_ID': '2', 'U_DC': '745.3', 'I_DC': '1.33', 'U_RMS_A': '229.41', 'U_RMS_B': '231.08', 'U_RMS_C': '227.56', 'I_RMS_A': '0.61', 'I_RMS_B': '0.18', 'I_RMS_C': '3', 'S_RMS_A': '140.28', 'S_RMS_B': '40.49', 'S_RMS_C': '682.52', 'T_IGBT': '47.2', 'T_AMBIENT': '17.6', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:59', 'CEI_ID': '2', 'U_DC': '745.3', 'I_DC': '1.33', 'U_RMS_A': '229.41', 'U_RMS_B': '231.08', 'U_RMS_C': '227.56', 'I_RMS_A': '0.61', 'I_RMS_B': '0.18', 'I_RMS_C': '3', 'S_RMS_A': '140.28', 'S_RMS_B': '40.49', 'S_RMS_C': '682.52', 'T_IGBT': '47.2', 'T_AMBIENT': '17.6', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:35:00', 'CEI_ID': '2', 'U_DC': '746', 'I_DC': '1.32', 'U_RMS_A': '229.44', 'U_RMS_B': '231.09', 'U_RMS_C': '227.58', 'I_RMS_A': '0.61', 'I_RMS_B': '0.18', 'I_RMS_C': '2.99', 'S_RMS_A': '140.15', 'S_RMS_B': '41.43', 'S_RMS_C': '681.58', 'T_IGBT': '47.3', 'T_AMBIENT': '17.6', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:35:01', 'CEI_ID': '2', 'U_DC': '746', 'I_DC': '1.32', 'U_RMS_A': '229.44', 'U_RMS_B': '231.09', 'U_RMS_C': '227.58', 'I_RMS_A': '0.61', 'I_RMS_B': '0.18', 'I_RMS_C': '2.99', 'S_RMS_A': '140.15', 'S_RMS_B': '41.43', 'S_RMS_C': '681.58', 'T_IGBT': '47.3', 'T_AMBIENT': '17.6', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:35:02', 'CEI_ID': '2', 'U_DC': '745.6', 'I_DC': '1.33', 'U_RMS_A': '229.41', 'U_RMS_B': '231.05', 'U_RMS_C': '227.57', 'I_RMS_A': '0.61', 'I_RMS_B': '0.17', 'I_RMS_C': '2.99', 'S_RMS_A': '139.79', 'S_RMS_B': '40.4', 'S_RMS_C': '681.56', 'T_IGBT': '47.3', 'T_AMBIENT': '17.6', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:35:03', 'CEI_ID': '2', 'U_DC': '745.6', 'I_DC': '1.33', 'U_RMS_A': '229.41', 'U_RMS_B': '231.05', 'U_RMS_C': '227.57', 'I_RMS_A': '0.61', 'I_RMS_B': '0.17', 'I_RMS_C': '2.99', 'S_RMS_A': '139.79', 'S_RMS_B': '40.4', 'S_RMS_C': '681.56', 'T_IGBT': '47.3', 'T_AMBIENT': '17.6', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:35:04', 'CEI_ID': '2', 'U_DC': '745.9', 'I_DC': '1.33', 'U_RMS_A': '229.44', 'U_RMS_B': '231.03', 'U_RMS_C': '227.57', 'I_RMS_A': '0.61', 'I_RMS_B': '0.18', 'I_RMS_C': '3', 'S_RMS_A': '140.34', 'S_RMS_B': '40.89', 'S_RMS_C': '682.67', 'T_IGBT': '47.4', 'T_AMBIENT': '17.6', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:35:06', 'CEI_ID': '2', 'U_DC': '745.5', 'I_DC': '1.32', 'U_RMS_A': '229.45', 'U_RMS_B': '230.99', 'U_RMS_C': '227.59', 'I_RMS_A': '0.61', 'I_RMS_B': '0.18', 'I_RMS_C': '2.97', 'S_RMS_A': '140.25', 'S_RMS_B': '40.81', 'S_RMS_C': '675.6', 'T_IGBT': '47.4', 'T_AMBIENT': '17.6', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
