------------------------------------------------------------
Server listening on UDP port 5005 with pid 160515
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 100.100.100.10 port 5005 connected with 192.168.241.15 port 42558
[ ID] Interval            Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  NetPwr
[  3] 1000.0000-1010.0000 sec   346 KBytes   283 Kbits/sec  33.512 ms  628/  869 (72%) -/-/-/- ms   24 pps
[  3] 1010.0000-1020.0000 sec   395 KBytes   323 Kbits/sec  48.777 ms  670/  945 (71%) -/-/-/- ms   28 pps
[  3] 1020.0000-1030.0000 sec   436 KBytes   358 Kbits/sec  28.514 ms  603/  907 (66%) -/-/-/- ms   30 pps
[  3] 1030.0000-1040.0000 sec   421 KBytes   345 Kbits/sec  30.271 ms  566/  859 (66%) -/-/-/- ms   29 pps
[  3] 1040.0000-1050.0000 sec   322 KBytes   263 Kbits/sec  47.089 ms  571/  795 (72%) -/-/-/- ms   22 pps
[  3] 1050.0000-1060.0000 sec   336 KBytes   275 Kbits/sec  44.674 ms  694/  928 (75%) -/-/-/- ms   23 pps
[  3] 1060.0000-1070.0000 sec   388 KBytes   318 Kbits/sec  46.391 ms  681/  951 (72%) -/-/-/- ms   27 pps
[  3] 1070.0000-1080.0000 sec   320 KBytes   262 Kbits/sec  41.707 ms  649/  872 (74%) -/-/-/- ms   22 pps
[  3] 1080.0000-1090.0000 sec   380 KBytes   312 Kbits/sec  39.189 ms  637/  902 (71%) -/-/-/- ms   26 pps
[  3] 1090.0000-1100.0000 sec   389 KBytes   319 Kbits/sec  26.197 ms  603/  874 (69%) -/-/-/- ms   27 pps
[  3] 1100.0000-1110.0000 sec   370 KBytes   303 Kbits/sec  37.586 ms  597/  855 (70%) -/-/-/- ms   26 pps
[  3] 1110.0000-1120.0000 sec   314 KBytes   258 Kbits/sec  40.439 ms  682/  901 (76%) -/-/-/- ms   22 pps
[  3] 1120.0000-1130.0000 sec   375 KBytes   307 Kbits/sec  29.718 ms  691/  952 (73%) -/-/-/- ms   26 pps
[  3] 1130.0000-1140.0000 sec   524 KBytes   429 Kbits/sec  26.799 ms  693/ 1058 (66%) -/-/-/- ms   36 pps
[  3] 1140.0000-1150.0000 sec   502 KBytes   412 Kbits/sec  26.497 ms  692/ 1042 (66%) -/-/-/- ms   35 pps
[  3] 1150.0000-1160.0000 sec   568 KBytes   466 Kbits/sec  39.763 ms  690/ 1086 (64%) -/-/-/- ms   40 pps
[  3] 1160.0000-1170.0000 sec   271 KBytes   222 Kbits/sec  64.102 ms  677/  866 (78%) -/-/-/- ms   19 pps
[  3] 1170.0000-1180.0000 sec   256 KBytes   209 Kbits/sec  56.555 ms  693/  871 (80%) -/-/-/- ms   18 pps
[  3] 1180.0000-1190.0000 sec   294 KBytes   241 Kbits/sec  44.952 ms  612/  817 (75%) -/-/-/- ms   20 pps
[  3] 1190.0000-1200.0000 sec   347 KBytes   285 Kbits/sec  37.927 ms  649/  891 (73%) -/-/-/- ms   24 pps
[  3] 1200.0000-1210.0000 sec   336 KBytes   275 Kbits/sec  39.936 ms  645/  879 (73%) -/-/-/- ms   23 pps
[  3] 1210.0000-1220.0000 sec   411 KBytes   336 Kbits/sec  28.380 ms  691/  977 (71%) -/-/-/- ms   29 pps
[  3] 1220.0000-1230.0000 sec   415 KBytes   340 Kbits/sec  39.249 ms  637/  926 (69%) -/-/-/- ms   29 pps
[  3] 1230.0000-1240.0000 sec   273 KBytes   223 Kbits/sec  45.076 ms  664/  854 (78%) -/-/-/- ms   19 pps
[  3] 1240.0000-1250.0000 sec   286 KBytes   234 Kbits/sec  56.622 ms  656/  855 (77%) -/-/-/- ms   20 pps
[  3] 1250.0000-1260.0000 sec   332 KBytes   272 Kbits/sec  41.274 ms  488/  719 (68%) -/-/-/- ms   23 pps
[  3] 1260.0000-1270.0000 sec   357 KBytes   293 Kbits/sec  37.788 ms  509/  758 (67%) -/-/-/- ms   25 pps
[  3] 1270.0000-1280.0000 sec   322 KBytes   263 Kbits/sec  40.214 ms  435/  659 (66%) -/-/-/- ms   22 pps
[  3] 1280.0000-1290.0000 sec   307 KBytes   252 Kbits/sec  54.859 ms  461/  675 (68%) -/-/-/- ms   21 pps
[  3] 1290.0000-1300.0000 sec   268 KBytes   220 Kbits/sec  43.100 ms  671/  858 (78%) -/-/-/- ms   19 pps
[  3] 1300.0000-1310.0000 sec   290 KBytes   238 Kbits/sec  46.059 ms  698/  900 (78%) -/-/-/- ms   20 pps
[  3] 1310.0000-1320.0000 sec   385 KBytes   315 Kbits/sec  31.944 ms  677/  945 (72%) -/-/-/- ms   27 pps
[  3] 1320.0000-1330.0000 sec   350 KBytes   287 Kbits/sec  51.080 ms  665/  909 (73%) -/-/-/- ms   24 pps
[  3] 1330.0000-1340.0000 sec   268 KBytes   220 Kbits/sec  44.249 ms  669/  856 (78%) -/-/-/- ms   19 pps
[  3] 1340.0000-1350.0000 sec   339 KBytes   278 Kbits/sec  47.901 ms  568/  804 (71%) -/-/-/- ms   24 pps
[  3] 1350.0000-1360.0000 sec   370 KBytes   303 Kbits/sec  31.489 ms  642/  900 (71%) -/-/-/- ms   26 pps
[  3] 1360.0000-1370.0000 sec   323 KBytes   265 Kbits/sec  49.184 ms  662/  887 (75%) -/-/-/- ms   22 pps
[  3] 1370.0000-1380.0000 sec   297 KBytes   243 Kbits/sec  45.036 ms  652/  859 (76%) -/-/-/- ms   21 pps
[  3] 1380.0000-1390.0000 sec   363 KBytes   298 Kbits/sec  48.490 ms  648/  901 (72%) -/-/-/- ms   25 pps
[  3] 1390.0000-1400.0000 sec   324 KBytes   266 Kbits/sec  38.834 ms  666/  892 (75%) -/-/-/- ms   23 pps
[  3] 1400.0000-1410.0000 sec   355 KBytes   290 Kbits/sec  36.280 ms  649/  896 (72%) -/-/-/- ms   25 pps
[  3] 1410.0000-1420.0000 sec   297 KBytes   243 Kbits/sec  41.259 ms  657/  864 (76%) -/-/-/- ms   21 pps
[  3] 1420.0000-1430.0000 sec   349 KBytes   286 Kbits/sec  40.228 ms  674/  917 (74%) -/-/-/- ms   24 pps
[  3] 1430.0000-1440.0000 sec   389 KBytes   319 Kbits/sec  52.585 ms  666/  937 (71%) -/-/-/- ms   27 pps
[  3] 1440.0000-1450.0000 sec   386 KBytes   316 Kbits/sec  29.093 ms  599/  868 (69%) -/-/-/- ms   27 pps
[  3] 1450.0000-1460.0000 sec   375 KBytes   307 Kbits/sec  44.917 ms  644/  905 (71%) -/-/-/- ms   26 pps
[  3] 1460.0000-1470.0000 sec   349 KBytes   286 Kbits/sec  29.090 ms  684/  927 (74%) -/-/-/- ms   24 pps
[  3] 1470.0000-1480.0000 sec   385 KBytes   315 Kbits/sec  35.017 ms  652/  920 (71%) -/-/-/- ms   27 pps
[  3] 1480.0000-1490.0000 sec   336 KBytes   275 Kbits/sec  32.082 ms  588/  822 (72%) -/-/-/- ms   23 pps
[  3] 1490.0000-1500.0000 sec   343 KBytes   281 Kbits/sec  48.904 ms  692/  931 (74%) -/-/-/- ms   24 pps
[  3] 1500.0000-1510.0000 sec   313 KBytes   256 Kbits/sec  48.126 ms  655/  873 (75%) -/-/-/- ms   22 pps
[  3] 1510.0000-1520.0000 sec   359 KBytes   294 Kbits/sec  33.833 ms  627/  877 (71%) -/-/-/- ms   25 pps
[  3] 1520.0000-1530.0000 sec   432 KBytes   354 Kbits/sec  28.854 ms  664/  965 (69%) -/-/-/- ms   30 pps
[  3] 1530.0000-1540.0000 sec   461 KBytes   377 Kbits/sec  36.366 ms  680/ 1001 (68%) -/-/-/- ms   32 pps
[  3] 1540.0000-1550.0000 sec   382 KBytes   313 Kbits/sec  31.913 ms  713/  979 (73%) -/-/-/- ms   27 pps
[  3] 1550.0000-1560.0000 sec   462 KBytes   379 Kbits/sec  49.412 ms  642/  964 (67%) -/-/-/- ms   32 pps
[  3] 1560.0000-1570.0000 sec   310 KBytes   254 Kbits/sec  43.118 ms  643/  859 (75%) -/-/-/- ms   22 pps
[  3] 1570.0000-1580.0000 sec   362 KBytes   296 Kbits/sec  38.224 ms  592/  844 (70%) -/-/-/- ms   25 pps
[  3] 1580.0000-1590.0000 sec   355 KBytes   290 Kbits/sec  33.224 ms  641/  888 (72%) -/-/-/- ms   25 pps
[  3] 1590.0000-1600.0000 sec   332 KBytes   272 Kbits/sec  43.498 ms  593/  824 (72%) -/-/-/- ms   23 pps
[  3] 1600.0000-1610.0000 sec   261 KBytes   214 Kbits/sec  43.583 ms  694/  876 (79%) -/-/-/- ms   18 pps
[  3] 1610.0000-1620.0000 sec   286 KBytes   234 Kbits/sec  44.472 ms  653/  852 (77%) -/-/-/- ms   20 pps
[  3] 1620.0000-1630.0000 sec   366 KBytes   300 Kbits/sec  40.291 ms  648/  903 (72%) -/-/-/- ms   25 pps
[  3] 1630.0000-1640.0000 sec   398 KBytes   326 Kbits/sec  33.547 ms  666/  943 (71%) -/-/-/- ms   28 pps
[  3] 1640.0000-1650.0000 sec   435 KBytes   356 Kbits/sec  34.149 ms  634/  937 (68%) -/-/-/- ms   30 pps
[  3] 1650.0000-1660.0000 sec   386 KBytes   316 Kbits/sec  42.168 ms  520/  789 (66%) -/-/-/- ms   27 pps
[  3] 1660.0000-1670.0000 sec   467 KBytes   382 Kbits/sec  37.908 ms  627/  952 (66%) -/-/-/- ms   33 pps
[  3] 1670.0000-1680.0000 sec   383 KBytes   314 Kbits/sec  33.302 ms  480/  747 (64%) -/-/-/- ms   27 pps
[  3] 1680.0000-1690.0000 sec   498 KBytes   408 Kbits/sec  28.247 ms  682/ 1029 (66%) -/-/-/- ms   35 pps
[  3] 1690.0000-1700.0000 sec   392 KBytes   321 Kbits/sec  39.242 ms  636/  909 (70%) -/-/-/- ms   27 pps
[  3] 1700.0000-1710.0000 sec   320 KBytes   262 Kbits/sec  38.825 ms  633/  856 (74%) -/-/-/- ms   22 pps
[  3] 1710.0000-1720.0000 sec   271 KBytes   222 Kbits/sec  40.541 ms  679/  868 (78%) -/-/-/- ms   19 pps
[  3] 1720.0000-1730.0000 sec   323 KBytes   265 Kbits/sec  39.850 ms  675/  900 (75%) -/-/-/- ms   23 pps
[  3] 1730.0000-1740.0000 sec   301 KBytes   247 Kbits/sec  55.625 ms  687/  897 (77%) -/-/-/- ms   21 pps
[  3] 1740.0000-1750.0000 sec   260 KBytes   213 Kbits/sec  46.456 ms  687/  868 (79%) -/-/-/- ms   18 pps
[  3] 1750.0000-1760.0000 sec   277 KBytes   227 Kbits/sec  44.367 ms  682/  875 (78%) -/-/-/- ms   19 pps
[  3] 1760.0000-1770.0000 sec   353 KBytes   289 Kbits/sec  33.981 ms  637/  883 (72%) -/-/-/- ms   25 pps
[  3] 1770.0000-1780.0000 sec   517 KBytes   423 Kbits/sec  33.520 ms  651/ 1011 (64%) -/-/-/- ms   36 pps
[  3] 1780.0000-1790.0000 sec   310 KBytes   254 Kbits/sec  50.154 ms  598/  814 (73%) -/-/-/- ms   22 pps
[  3] 1790.0000-1800.0000 sec   260 KBytes   213 Kbits/sec  50.943 ms  621/  802 (77%) -/-/-/- ms   18 pps
