------------------------------------------------------------
Server listening on UDP port 5001 with pid 166834
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 100.100.100.10 port 5001 connected with 192.168.241.15 port 44095
[ ID] Interval            Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  NetPwr
[  3] 780.0000-790.0000 sec   159 KBytes   131 Kbits/sec  118.566 ms  833/  944 (88%) -/-/-/- ms   11 pps
[  3] 790.0000-800.0000 sec   158 KBytes   129 Kbits/sec  109.815 ms  878/  988 (89%) -/-/-/- ms   11 pps
[  3] 800.0000-810.0000 sec   144 KBytes   118 Kbits/sec  91.847 ms  780/  880 (89%) -/-/-/- ms   10 pps
[  3] 810.0000-820.0000 sec   136 KBytes   112 Kbits/sec  113.745 ms  785/  880 (89%) -/-/-/- ms    9 pps
[  3] 820.0000-830.0000 sec   129 KBytes   106 Kbits/sec  92.420 ms  755/  845 (89%) -/-/-/- ms    9 pps
[  3] 830.0000-840.0000 sec   139 KBytes   114 Kbits/sec  84.367 ms  703/  800 (88%) -/-/-/- ms   10 pps
[  3] 840.0000-850.0000 sec   156 KBytes   128 Kbits/sec  59.497 ms  758/  867 (87%) -/-/-/- ms   11 pps
[  3] 850.0000-860.0000 sec   164 KBytes   134 Kbits/sec  54.568 ms  762/  876 (87%) -/-/-/- ms   11 pps
[  3] 860.0000-870.0000 sec   187 KBytes   153 Kbits/sec  64.572 ms  767/  897 (86%) -/-/-/- ms   13 pps
[  3] 870.0000-880.0000 sec   198 KBytes   162 Kbits/sec  73.455 ms  776/  914 (85%) -/-/-/- ms   14 pps
[  3] 880.0000-890.0000 sec   194 KBytes   159 Kbits/sec  78.219 ms  802/  937 (86%) -/-/-/- ms   14 pps
[  3] 890.0000-900.0000 sec   200 KBytes   163 Kbits/sec  73.112 ms  818/  957 (85%) -/-/-/- ms   14 pps
[  3] 900.0000-910.0000 sec   204 KBytes   167 Kbits/sec  51.612 ms  696/  838 (83%) -/-/-/- ms   14 pps
[  3] 910.0000-920.0000 sec   205 KBytes   168 Kbits/sec  69.443 ms  740/  883 (84%) -/-/-/- ms   14 pps
[  3] 920.0000-930.0000 sec   167 KBytes   136 Kbits/sec  64.691 ms  690/  806 (86%) -/-/-/- ms   12 pps
[  3] 930.0000-940.0000 sec   171 KBytes   140 Kbits/sec  69.928 ms  749/  868 (86%) -/-/-/- ms   12 pps
[  3] 940.0000-950.0000 sec   156 KBytes   128 Kbits/sec  64.493 ms  789/  898 (88%) -/-/-/- ms   11 pps
[  3] 950.0000-960.0000 sec   159 KBytes   131 Kbits/sec  133.279 ms  859/  970 (89%) -/-/-/- ms   11 pps
[  3] 960.0000-970.0000 sec   155 KBytes   127 Kbits/sec  92.408 ms  783/  891 (88%) -/-/-/- ms   11 pps
[  3] 970.0000-980.0000 sec   165 KBytes   135 Kbits/sec  84.039 ms  856/  971 (88%) -/-/-/- ms   12 pps
[  3] 980.0000-990.0000 sec   179 KBytes   147 Kbits/sec  121.646 ms  826/  951 (87%) -/-/-/- ms   12 pps
[  3] 990.0000-1000.0000 sec   188 KBytes   154 Kbits/sec  97.345 ms  834/  965 (86%) -/-/-/- ms   13 pps
[  3] 1000.0000-1010.0000 sec   201 KBytes   165 Kbits/sec  71.864 ms  707/  847 (83%) -/-/-/- ms   14 pps
[  3] 1010.0000-1020.0000 sec   202 KBytes   166 Kbits/sec  83.011 ms  756/  897 (84%) -/-/-/- ms   14 pps
[  3] 1020.0000-1030.0000 sec   185 KBytes   152 Kbits/sec  65.128 ms  679/  808 (84%) -/-/-/- ms   13 pps
[  3] 1030.0000-1040.0000 sec   158 KBytes   129 Kbits/sec  56.286 ms  777/  887 (88%) -/-/-/- ms   11 pps
[  3] 1040.0000-1050.0000 sec   175 KBytes   143 Kbits/sec  79.899 ms  757/  879 (86%) -/-/-/- ms   12 pps
[  3] 1050.0000-1060.0000 sec   192 KBytes   158 Kbits/sec  102.830 ms  790/  924 (85%) -/-/-/- ms   13 pps
[  3] 1060.0000-1070.0000 sec   185 KBytes   152 Kbits/sec  79.159 ms  815/  944 (86%) -/-/-/- ms   13 pps
[  3] 1070.0000-1080.0000 sec   145 KBytes   119 Kbits/sec  133.241 ms  842/  943 (89%) -/-/-/- ms   10 pps
[  3] 1080.0000-1090.0000 sec  80.4 KBytes  65.9 Kbits/sec  199.591 ms  890/  946 (94%) -/-/-/- ms    6 pps
[  3] 1090.0000-1100.0000 sec   118 KBytes  96.4 Kbits/sec  81.577 ms  769/  851 (90%) -/-/-/- ms    8 pps
[  3] 1100.0000-1110.0000 sec   151 KBytes   123 Kbits/sec  73.204 ms  730/  835 (87%) -/-/-/- ms   11 pps
[  3] 1110.0000-1120.0000 sec   152 KBytes   125 Kbits/sec  77.303 ms  760/  866 (88%) -/-/-/- ms   11 pps
[  3] 1120.0000-1130.0000 sec   156 KBytes   128 Kbits/sec  78.029 ms  694/  803 (86%) -/-/-/- ms   11 pps
[  3] 1130.0000-1140.0000 sec   205 KBytes   168 Kbits/sec  62.661 ms  712/  855 (83%) -/-/-/- ms   14 pps
[  3] 1140.0000-1150.0000 sec   154 KBytes   126 Kbits/sec  71.916 ms  777/  884 (88%) -/-/-/- ms   11 pps
[  3] 1150.0000-1160.0000 sec   177 KBytes   145 Kbits/sec  79.709 ms  769/  892 (86%) -/-/-/- ms   12 pps
[  3] 1160.0000-1170.0000 sec   144 KBytes   118 Kbits/sec  88.970 ms  788/  888 (89%) -/-/-/- ms   10 pps
[  3] 1170.0000-1180.0000 sec   129 KBytes   106 Kbits/sec  124.654 ms  850/  940 (90%) -/-/-/- ms    9 pps
[  3] 1180.0000-1190.0000 sec   123 KBytes   101 Kbits/sec  109.600 ms  847/  933 (91%) -/-/-/- ms    9 pps
[  3] 1190.0000-1200.0000 sec   108 KBytes  88.2 Kbits/sec  110.660 ms  760/  835 (91%) -/-/-/- ms    7 pps
