PING 100.100.100.10 (100.100.100.10) 56(84) bytes of data.
64 bytes from 100.100.100.10: icmp_seq=145 ttl=61 time=16.3 ms
64 bytes from 100.100.100.10: icmp_seq=146 ttl=61 time=20.5 ms
64 bytes from 100.100.100.10: icmp_seq=147 ttl=61 time=18.7 ms
64 bytes from 100.100.100.10: icmp_seq=148 ttl=61 time=17.2 ms
64 bytes from 100.100.100.10: icmp_seq=149 ttl=61 time=16.8 ms
64 bytes from 100.100.100.10: icmp_seq=150 ttl=61 time=25.2 ms
64 bytes from 100.100.100.10: icmp_seq=151 ttl=61 time=14.1 ms
64 bytes from 100.100.100.10: icmp_seq=152 ttl=61 time=18.2 ms
64 bytes from 100.100.100.10: icmp_seq=153 ttl=61 time=17.2 ms
64 bytes from 100.100.100.10: icmp_seq=154 ttl=61 time=16.3 ms
64 bytes from 100.100.100.10: icmp_seq=155 ttl=61 time=20.6 ms
64 bytes from 100.100.100.10: icmp_seq=156 ttl=61 time=28.7 ms
64 bytes from 100.100.100.10: icmp_seq=157 ttl=61 time=22.2 ms
64 bytes from 100.100.100.10: icmp_seq=158 ttl=61 time=20.9 ms
64 bytes from 100.100.100.10: icmp_seq=159 ttl=61 time=20.6 ms
64 bytes from 100.100.100.10: icmp_seq=160 ttl=61 time=19.4 ms
64 bytes from 100.100.100.10: icmp_seq=161 ttl=61 time=17.2 ms
64 bytes from 100.100.100.10: icmp_seq=162 ttl=61 time=16.4 ms
64 bytes from 100.100.100.10: icmp_seq=163 ttl=61 time=20.4 ms
64 bytes from 100.100.100.10: icmp_seq=164 ttl=61 time=18.8 ms
64 bytes from 100.100.100.10: icmp_seq=165 ttl=61 time=12.7 ms
64 bytes from 100.100.100.10: icmp_seq=166 ttl=61 time=16.2 ms
64 bytes from 100.100.100.10: icmp_seq=167 ttl=61 time=14.8 ms
64 bytes from 100.100.100.10: icmp_seq=168 ttl=61 time=13.3 ms
64 bytes from 100.100.100.10: icmp_seq=169 ttl=61 time=17.4 ms
64 bytes from 100.100.100.10: icmp_seq=170 ttl=61 time=25.7 ms
64 bytes from 100.100.100.10: icmp_seq=171 ttl=61 time=20.2 ms
64 bytes from 100.100.100.10: icmp_seq=172 ttl=61 time=19.3 ms
64 bytes from 100.100.100.10: icmp_seq=173 ttl=61 time=12.8 ms
64 bytes from 100.100.100.10: icmp_seq=174 ttl=61 time=16.3 ms
64 bytes from 100.100.100.10: icmp_seq=175 ttl=61 time=25.1 ms
64 bytes from 100.100.100.10: icmp_seq=176 ttl=61 time=15.2 ms
64 bytes from 100.100.100.10: icmp_seq=177 ttl=61 time=23.7 ms
64 bytes from 100.100.100.10: icmp_seq=178 ttl=61 time=18.3 ms
64 bytes from 100.100.100.10: icmp_seq=179 ttl=61 time=13.0 ms
64 bytes from 100.100.100.10: icmp_seq=180 ttl=61 time=17.4 ms
64 bytes from 100.100.100.10: icmp_seq=181 ttl=61 time=12.4 ms
64 bytes from 100.100.100.10: icmp_seq=182 ttl=61 time=21.3 ms
64 bytes from 100.100.100.10: icmp_seq=183 ttl=61 time=26.6 ms
64 bytes from 100.100.100.10: icmp_seq=184 ttl=61 time=15.9 ms
64 bytes from 100.100.100.10: icmp_seq=185 ttl=61 time=27.1 ms
64 bytes from 100.100.100.10: icmp_seq=186 ttl=61 time=22.2 ms
64 bytes from 100.100.100.10: icmp_seq=187 ttl=61 time=17.3 ms
64 bytes from 100.100.100.10: icmp_seq=188 ttl=61 time=16.6 ms
64 bytes from 100.100.100.10: icmp_seq=189 ttl=61 time=16.4 ms
64 bytes from 100.100.100.10: icmp_seq=190 ttl=61 time=16.3 ms
64 bytes from 100.100.100.10: icmp_seq=191 ttl=61 time=16.2 ms
64 bytes from 100.100.100.10: icmp_seq=192 ttl=61 time=16.5 ms
64 bytes from 100.100.100.10: icmp_seq=193 ttl=61 time=16.7 ms
64 bytes from 100.100.100.10: icmp_seq=194 ttl=61 time=15.9 ms
64 bytes from 100.100.100.10: icmp_seq=195 ttl=61 time=15.9 ms
64 bytes from 100.100.100.10: icmp_seq=196 ttl=61 time=16.0 ms
64 bytes from 100.100.100.10: icmp_seq=197 ttl=61 time=25.9 ms
64 bytes from 100.100.100.10: icmp_seq=198 ttl=61 time=16.1 ms
64 bytes from 100.100.100.10: icmp_seq=199 ttl=61 time=15.8 ms
64 bytes from 100.100.100.10: icmp_seq=200 ttl=61 time=15.3 ms
64 bytes from 100.100.100.10: icmp_seq=201 ttl=61 time=20.0 ms
64 bytes from 100.100.100.10: icmp_seq=202 ttl=61 time=20.0 ms
64 bytes from 100.100.100.10: icmp_seq=203 ttl=61 time=19.7 ms
64 bytes from 100.100.100.10: icmp_seq=204 ttl=61 time=19.7 ms
64 bytes from 100.100.100.10: icmp_seq=205 ttl=61 time=13.8 ms
64 bytes from 100.100.100.10: icmp_seq=206 ttl=61 time=18.1 ms
64 bytes from 100.100.100.10: icmp_seq=207 ttl=61 time=18.6 ms
64 bytes from 100.100.100.10: icmp_seq=208 ttl=61 time=18.0 ms
64 bytes from 100.100.100.10: icmp_seq=209 ttl=61 time=18.0 ms
64 bytes from 100.100.100.10: icmp_seq=210 ttl=61 time=17.5 ms
64 bytes from 100.100.100.10: icmp_seq=211 ttl=61 time=17.2 ms
64 bytes from 100.100.100.10: icmp_seq=212 ttl=61 time=17.6 ms
64 bytes from 100.100.100.10: icmp_seq=213 ttl=61 time=27.1 ms
64 bytes from 100.100.100.10: icmp_seq=214 ttl=61 time=17.3 ms
64 bytes from 100.100.100.10: icmp_seq=215 ttl=61 time=22.6 ms
64 bytes from 100.100.100.10: icmp_seq=216 ttl=61 time=16.8 ms
64 bytes from 100.100.100.10: icmp_seq=217 ttl=61 time=12.6 ms
64 bytes from 100.100.100.10: icmp_seq=218 ttl=61 time=16.9 ms
64 bytes from 100.100.100.10: icmp_seq=219 ttl=61 time=16.9 ms
64 bytes from 100.100.100.10: icmp_seq=220 ttl=61 time=17.6 ms
64 bytes from 100.100.100.10: icmp_seq=221 ttl=61 time=16.5 ms
64 bytes from 100.100.100.10: icmp_seq=222 ttl=61 time=16.8 ms
64 bytes from 100.100.100.10: icmp_seq=223 ttl=61 time=17.2 ms
64 bytes from 100.100.100.10: icmp_seq=224 ttl=61 time=16.6 ms
64 bytes from 100.100.100.10: icmp_seq=225 ttl=61 time=16.4 ms
64 bytes from 100.100.100.10: icmp_seq=226 ttl=61 time=16.2 ms
64 bytes from 100.100.100.10: icmp_seq=227 ttl=61 time=16.2 ms
64 bytes from 100.100.100.10: icmp_seq=228 ttl=61 time=15.8 ms
64 bytes from 100.100.100.10: icmp_seq=229 ttl=61 time=30.2 ms
64 bytes from 100.100.100.10: icmp_seq=230 ttl=61 time=15.1 ms
64 bytes from 100.100.100.10: icmp_seq=231 ttl=61 time=20.1 ms
