{'Time_STAMP': '2020-11-27 17:33:53', 'CEI_ID': '1', 'U_DC': '787.1', 'I_DC': '2.47', 'U_RMS_A': '228.09', 'U_RMS_B': '231.24', 'U_RMS_C': '228.54', 'I_RMS_A': '5.06', 'I_RMS_B': '0.2', 'I_RMS_C': '5.68', 'S_RMS_A': '1154.92', 'S_RMS_B': '47.05', 'S_RMS_C': '1297.67', 'T_IGBT': '45.5', 'T_AMBIENT': '19', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:33:54', 'CEI_ID': '1', 'U_DC': '787.1', 'I_DC': '2.47', 'U_RMS_A': '228.09', 'U_RMS_B': '231.24', 'U_RMS_C': '228.54', 'I_RMS_A': '5.06', 'I_RMS_B': '0.2', 'I_RMS_C': '5.68', 'S_RMS_A': '1154.92', 'S_RMS_B': '47.05', 'S_RMS_C': '1297.67', 'T_IGBT': '45.5', 'T_AMBIENT': '19', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:33:55', 'CEI_ID': '1', 'U_DC': '787', 'I_DC': '2.46', 'U_RMS_A': '228.11', 'U_RMS_B': '231.24', 'U_RMS_C': '228.59', 'I_RMS_A': '5.05', 'I_RMS_B': '0.21', 'I_RMS_C': '5.68', 'S_RMS_A': '1151.78', 'S_RMS_B': '47.55', 'S_RMS_C': '1298.94', 'T_IGBT': '45.6', 'T_AMBIENT': '19', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:33:56', 'CEI_ID': '1', 'U_DC': '787', 'I_DC': '2.46', 'U_RMS_A': '228.11', 'U_RMS_B': '231.24', 'U_RMS_C': '228.59', 'I_RMS_A': '5.05', 'I_RMS_B': '0.21', 'I_RMS_C': '5.68', 'S_RMS_A': '1151.78', 'S_RMS_B': '47.55', 'S_RMS_C': '1298.94', 'T_IGBT': '45.6', 'T_AMBIENT': '19', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:33:59', 'CEI_ID': '1', 'U_DC': '787.1', 'I_DC': '2.46', 'U_RMS_A': '228.17', 'U_RMS_B': '231.21', 'U_RMS_C': '228.55', 'I_RMS_A': '5.05', 'I_RMS_B': '0.21', 'I_RMS_C': '5.7', 'S_RMS_A': '1152.08', 'S_RMS_B': '47.94', 'S_RMS_C': '1301.99', 'T_IGBT': '45.8', 'T_AMBIENT': '19.1', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:00', 'CEI_ID': '1', 'U_DC': '787.1', 'I_DC': '2.46', 'U_RMS_A': '228.17', 'U_RMS_B': '231.21', 'U_RMS_C': '228.55', 'I_RMS_A': '5.05', 'I_RMS_B': '0.21', 'I_RMS_C': '5.7', 'S_RMS_A': '1152.08', 'S_RMS_B': '47.94', 'S_RMS_C': '1301.99', 'T_IGBT': '45.8', 'T_AMBIENT': '19.1', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:01', 'CEI_ID': '1', 'U_DC': '787.1', 'I_DC': '2.5', 'U_RMS_A': '228.2', 'U_RMS_B': '231.22', 'U_RMS_C': '228.51', 'I_RMS_A': '5.07', 'I_RMS_B': '0.21', 'I_RMS_C': '5.82', 'S_RMS_A': '1157.86', 'S_RMS_B': '48.38', 'S_RMS_C': '1329.78', 'T_IGBT': '45.9', 'T_AMBIENT': '19', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:02', 'CEI_ID': '1', 'U_DC': '787.1', 'I_DC': '2.5', 'U_RMS_A': '228.2', 'U_RMS_B': '231.22', 'U_RMS_C': '228.51', 'I_RMS_A': '5.07', 'I_RMS_B': '0.21', 'I_RMS_C': '5.82', 'S_RMS_A': '1157.86', 'S_RMS_B': '48.38', 'S_RMS_C': '1329.78', 'T_IGBT': '45.9', 'T_AMBIENT': '19', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:03', 'CEI_ID': '1', 'U_DC': '787.4', 'I_DC': '1.91', 'U_RMS_A': '229.54', 'U_RMS_B': '230.86', 'U_RMS_C': '227.69', 'I_RMS_A': '3.53', 'I_RMS_B': '0.2', 'I_RMS_C': '5.85', 'S_RMS_A': '810.27', 'S_RMS_B': '46.96', 'S_RMS_C': '1331.62', 'T_IGBT': '46', 'T_AMBIENT': '19.4', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:05', 'CEI_ID': '1', 'U_DC': '787.6', 'I_DC': '1.38', 'U_RMS_A': '230.56', 'U_RMS_B': '230.4', 'U_RMS_C': '227.02', 'I_RMS_A': '0.82', 'I_RMS_B': '0.2', 'I_RMS_C': '5.88', 'S_RMS_A': '189.06', 'S_RMS_B': '45.12', 'S_RMS_C': '1334.52', 'T_IGBT': '46.1', 'T_AMBIENT': '19.7', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
